timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2023-01-03 11:00:00,16724.0,16731.24,16722.61,16727.29,2480.10082,1672745399999,41483747.38924040,87957,1183.81675000,19801497.49113740,0
2023-01-03 11:30:00,16727.29,16737.58,16709.87,16721.03,3417.3567,1672747199999,57156788.81748640,104830,1660.35972000,27770860.89721040,0
2023-01-03 12:00:00,16721.42,16728.02,16710.38,16718.98,3253.40348,1672748999999,54396616.07508520,110821,1636.53152000,27363008.18006440,0
2023-01-03 12:30:00,16718.98,16726.32,16703.0,16710.85,3213.2324,1672750799999,53710819.13348450,107858,1575.92540000,26342719.20786550,0
2023-01-03 13:00:00,16710.85,16734.89,16709.41,16718.44,4199.4761,1672752599999,70236089.51160090,124922,2015.58203000,33710478.49468750,0
2023-01-03 13:30:00,16718.7,16739.93,16716.6,16725.53,3367.86583,1672754399999,56330610.89018000,105994,1722.54401000,28811651.96491140,0
2023-01-03 14:00:00,16725.53,16747.89,16722.81,16742.3,4347.32187,1672756199999,72759852.91685810,124655,2202.42896000,36861537.74775050,0
2023-01-03 14:30:00,16742.79,16773.0,16631.95,16661.23,11322.74579,1672757999999,189336506.36360280,249093,5347.10715000,89426680.35592240,0
2023-01-03 15:00:00,16662.08,16683.45,16620.8,16647.29,7582.43942,1672759799999,126300295.09420060,194231,3836.21773000,63899782.42226890,0
2023-01-03 15:30:00,16647.3,16681.26,16617.79,16676.94,4845.29893,1672761599999,80674657.46673480,146986,2490.60672000,41469438.48087860,0
2023-01-03 16:00:00,16677.54,16688.2,16633.07,16652.47,5445.28404,1672763399999,90718502.07616060,152069,2611.17698000,43502453.35695010,0
2023-01-03 16:30:00,16653.16,16665.47,16611.3,16622.58,4828.28485,1672765199999,80341030.60966510,140849,2354.49414000,39179499.80397630,0
2023-01-03 17:00:00,16621.93,16644.0,16615.01,16625.38,3487.95079,1672766999999,58008441.54211010,108963,1751.85116000,29135577.09148880,0
2023-01-03 17:30:00,16625.38,16639.9,16605.28,16633.65,3297.81985,1672768799999,54824491.90329880,107250,1684.92664000,28011641.94599040,0
2023-01-03 18:00:00,16633.15,16653.53,16626.8,16651.22,2968.9329,1672770599999,49392710.75995240,99083,1529.62202000,25448487.46290520,0
2023-01-03 18:30:00,16651.22,16653.48,16636.0,16645.08,2730.02648,1672772399999,45444560.40574980,93457,1373.14954000,22858112.19917680,0
2023-01-03 19:00:00,16644.51,16648.43,16622.41,16634.27,3158.33709,1672774199999,52543477.02889800,101417,1556.94870000,25902371.03437660,0
2023-01-03 19:30:00,16634.27,16657.54,16624.81,16643.37,3602.49675,1672775999999,59949298.65103960,105961,1827.96793000,30419690.72818750,0
2023-01-03 20:00:00,16643.77,16680.44,16640.4,16659.61,4220.55811,1672777799999,70304733.55748380,115417,2116.99171000,35263282.34156720,0
2023-01-03 20:30:00,16659.61,16671.37,16650.36,16661.37,2832.50313,1672779599999,47191621.08459200,97057,1430.09225000,23826774.72412950,0
2023-01-03 21:00:00,16661.37,16671.3,16658.36,16668.48,2260.68608,1672781399999,37673909.35651010,83082,1130.96399000,18847527.79216020,0
2023-01-03 21:30:00,16668.83,16685.73,16660.76,16664.63,2328.26536,1672783199999,38810108.64768610,77028,1250.43577000,20844356.91278680,0
2023-01-03 22:00:00,16664.44,16669.0,16647.71,16662.27,1880.13639,1672784999999,31321324.20962770,69481,928.48736000,15468112.79904390,0
2023-01-03 22:30:00,16662.27,16680.37,16651.62,16677.11,1959.14494,1672786799999,32648106.45066740,67624,1004.36371000,16737726.95005720,0
2023-01-03 23:00:00,16677.11,16695.0,16670.71,16676.96,3633.18907,1672788599999,60607250.24443670,107222,1859.61771000,31021872.29346760,0
2023-01-03 23:30:00,16676.96,16679.95,16667.16,16675.18,1582.17463,1672790399999,26381471.65085560,60462,774.66144000,12917061.32454610,0
2023-01-04 00:00:00,16675.65,16677.15,16663.05,16675.14,2415.33629,1672792199999,40264138.63766520,79449,1226.52058000,20446557.32948180,0
2023-01-04 00:30:00,16675.14,16676.58,16652.66,16660.53,2507.44389,1672793999999,41781358.86458010,87798,1226.73401000,20441142.44296690,0
2023-01-04 01:00:00,16660.53,16737.23,16657.68,16711.5,5961.38171,1672795799999,99565872.56703150,161325,3055.55219000,51032841.95275870,0
2023-01-04 01:30:00,16711.5,16727.1,16695.68,16701.97,3531.43033,1672797599999,59006084.31485160,122071,1742.43498000,29114379.60464080,0
2023-01-04 02:00:00,16701.63,16726.94,16701.5,16718.76,3450.97516,1672799399999,57684329.01331810,115952,1732.37106000,28957505.65283440,0
2023-01-04 02:30:00,16718.32,16754.52,16717.23,16736.52,5731.71514,1672801199999,95931755.22393380,152527,3025.12125000,50632538.96690610,0
2023-01-04 03:00:00,16736.52,16854.7,16736.39,16802.9,11793.53805,1672802999999,198193386.43659870,231393,6136.33378000,103121490.26726410,0
2023-01-04 03:30:00,16802.44,16877.65,16800.0,16862.02,6512.75197,1672804799999,109630862.38528670,163206,3139.82946000,52851945.97628040,0
2023-01-04 04:00:00,16862.61,16910.98,16850.16,16850.43,6784.38558,1672806599999,114487474.80948770,165770,3523.34837000,59457474.09987240,0
2023-01-04 04:30:00,16850.66,16878.77,16849.44,16860.5,3371.37866,1672808399999,56870463.49642590,116973,1649.75663000,27829025.00262600,0
2023-01-04 05:00:00,16861.05,16867.22,16840.36,16852.75,3343.93017,1672810199999,56351440.96475500,110368,1588.80927000,26774384.86566110,0
2023-01-04 05:30:00,16852.94,16860.5,16841.0,16857.57,2723.97023,1672811999999,45898308.78565510,100066,1362.39395000,22956409.64573870,0
2023-01-04 06:00:00,16857.57,16866.11,16849.31,16861.76,3242.6128,1672813799999,54664909.20822600,114053,1602.73637000,27019526.57131220,0
2023-01-04 06:30:00,16862.18,16880.0,16852.0,16878.18,3071.71038,1672815599999,51799256.83685730,116417,1538.06093000,25937605.39531140,0
2023-01-04 07:00:00,16878.87,16891.27,16850.0,16857.53,3927.37884,1672817399999,66243652.33011710,128848,1920.07617000,32387043.20559950,0
2023-01-04 07:30:00,16857.53,16879.0,16850.94,16869.44,3804.88644,1672819199999,64174443.92283510,121716,1944.21438000,32791901.61483950,0
2023-01-04 08:00:00,16869.49,16919.0,16838.65,16849.46,6358.93151,1672820999999,107318342.83450040,167035,3193.35314000,53897900.01241040,0
2023-01-04 08:30:00,16849.46,16874.87,16833.5,16864.95,4388.21053,1672822799999,73969897.60718950,144262,2211.61403000,37280744.96354890,0
2023-01-04 09:00:00,16864.51,16869.7,16850.0,16855.42,3112.53615,1672824599999,52474249.24940050,107579,1502.48991000,25330544.52216710,0
2023-01-04 09:30:00,16855.42,16864.67,16831.13,16844.91,4315.93971,1672826399999,72723046.35688050,127739,2179.42438000,36723133.69519150,0
2023-01-04 10:00:00,16844.69,16847.0,16835.0,16845.1,2988.00675,1672828199999,50323205.94833080,101439,1461.94057000,24621949.03285180,0
2023-01-04 10:30:00,16845.11,16848.06,16832.1,16844.92,3115.39046,1672829999999,52465643.36128390,108962,1511.66616000,25457964.49032240,0
2023-01-04 11:00:00,16845.3,16854.0,16838.65,16847.78,3008.17305,1672831799999,50678097.53914900,103204,1477.48906000,24891374.11823090,0
2023-01-04 11:30:00,16847.78,16854.24,16834.42,16835.35,3033.45188,1672833599999,51101535.86982730,104124,1479.11967000,24917753.98634360,0
2023-01-04 12:00:00,16835.35,16845.41,16825.41,16839.69,3898.0414,1672835399999,65627196.67715600,117685,1936.89989000,32610118.18716170,0
2023-01-04 12:30:00,16839.69,16846.95,16804.08,16812.19,4394.0682,1672837199999,73914025.43321450,130966,2122.55061000,35704344.04186400,0
2023-01-04 13:00:00,16812.57,16837.34,16808.55,16825.72,3691.70485,1672838999999,62110570.07704980,118675,1863.88167000,31358710.37014130,0
2023-01-04 13:30:00,16825.72,16831.47,16820.55,16828.2,2941.13183,1672840799999,49486972.59359330,100829,1448.81024000,24377737.84075930,0
2023-01-04 14:00:00,16828.4,16829.89,16801.0,16816.54,4126.23566,1672842599999,69379869.92251940,117868,1979.16379000,33278550.03394780,0
2023-01-04 14:30:00,16816.2,16863.09,16795.24,16830.12,7540.60588,1672844399999,126913861.23465380,197744,3645.28870000,61350984.01886690,0
2023-01-04 15:00:00,16830.12,16848.84,16765.3,16818.27,8915.37664,1672846199999,149801427.16620640,221208,4386.64286000,73710086.12175930,0
2023-01-04 15:30:00,16818.64,16858.51,16805.02,16854.05,5335.89507,1672847999999,89816653.71614540,149995,2806.55650000,47242963.14374130,0
2023-01-04 16:00:00,16853.55,16897.0,16829.0,16866.91,5996.34956,1672849799999,101119367.35899580,169293,2933.35530000,49469301.22565000,0
2023-01-04 16:30:00,16866.37,16883.42,16842.02,16858.85,4317.84101,1672851599999,72800797.79092270,136471,1927.90604000,32506058.67601000,0
2023-01-04 17:00:00,16858.85,16878.99,16849.5,16874.88,3307.47454,1672853399999,55768881.70039290,115023,1662.26323000,28028770.00376750,0
2023-01-04 17:30:00,16874.77,16940.0,16874.62,16893.24,7757.45127,1672855199999,131168675.48532740,196050,3970.20870000,67134238.72424490,0
2023-01-04 18:00:00,16892.98,16929.88,16872.07,16918.51,5138.64453,1672856999999,86863225.00565570,146528,2551.19121000,43126688.20857750,0
2023-01-04 18:30:00,16918.51,16985.91,16918.0,16948.04,6436.4783,1672858799999,109106480.91191900,170519,3284.12058000,55670066.52471440,0
2023-01-04 19:00:00,16948.04,16991.87,16789.18,16812.4,13044.6932,1672860599999,220331478.48104530,268017,6237.18805000,105361440.20721510,0
2023-01-04 19:30:00,16811.94,16845.85,16787.85,16842.36,6077.41935,1672862399999,102247972.73040340,155844,3106.86744000,52271956.32276950,0
2023-01-04 20:00:00,16842.32,16852.23,16826.37,16837.12,4447.68176,1672864199999,74891761.91738730,126889,2284.35242000,38465682.35600860,0
2023-01-04 20:30:00,16837.08,16840.75,16777.0,16806.49,6086.22291,1672865999999,102273606.43973930,141669,2975.60672000,50003915.37681930,0
2023-01-04 21:00:00,16806.49,16827.44,16793.73,16827.4,2599.27777,1672867799999,43695630.75080870,90606,1293.09197000,21738211.11835940,0
2023-01-04 21:30:00,16827.4,16832.73,16812.33,16826.81,1933.35186,1672869599999,32523431.44036310,65507,1008.61165000,16967776.46599130,0
2023-01-04 22:00:00,16827.21,16831.25,16814.93,16826.69,1703.28378,1672871399999,28656215.00127290,59532,872.09064000,14672203.70219400,0
2023-01-04 22:30:00,16827.05,16853.71,16820.98,16826.68,2334.66547,1672873199999,39300454.10192790,75810,1182.89375000,19913187.59172180,0
2023-01-04 23:00:00,16826.72,16855.84,16815.54,16852.42,3272.08631,1672874999999,55094695.59506290,100421,1632.79489000,27493365.03907280,0
2023-01-04 23:30:00,16852.83,16869.56,16849.2,16850.36,2570.74179,1672876799999,43338201.74941550,85278,1203.38787000,20287518.66885870,0
2023-01-05 00:00:00,16850.36,16878.18,16848.0,16866.0,3392.8209,1672878599999,57215301.08868540,99192,1684.86779000,28413647.87734970,0
2023-01-05 00:30:00,16865.94,16866.93,16827.24,16828.45,3230.28848,1672880399999,54426621.20579560,108654,1457.68865000,24561442.90525170,0
